Food_ID,Food_Name,Packaging_ID,Packaging_Material,Material_Category,Structure_Type,Deterministic_Compatibility_Class,Deterministic_Score,Evidence_Coverage_Ratio,Requirement_Match_Score,Requirement_Dimensions_Scored,Requirement_Candidate_Score,MAP_Request,MAP_Request_Flag,Requirement_Reasons,Eligible,Rank
FRU_001,Apple,PM029,Aluminum foil,Metal,Rigid/foil metal,Low_Compatibility,0.0,0.4444444444444445,,0,14.4444,,,,True,35
FRU_001,Apple,PM030,Tinplate steel,Metal,Rigid/foil metal,Low_Compatibility,0.0,0.4444444444444445,,0,14.4444,,,,True,36
FRU_001,Apple,PM034,PET/Al/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.4444444444444445,,0,14.4444,,,,True,37
FRU_001,Apple,PM035,PET/EVOH/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.4444444444444445,,0,14.4444,,,,True,38
FRU_001,Apple,PM036,PE/PA/EVOH/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.4444444444444445,,0,14.4444,,,,True,39
FRU_001,Apple,PM015,EVOH,Polymer film,Single polymer/coating,Insufficient_Evidence,,0.0,,0,,,,Excluded from recommendation pool because deterministic evidence is insufficient,False,40
FRU_019,Avocado,PM001,LDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,1
FRU_019,Avocado,PM002,LLDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,2
FRU_019,Avocado,PM003,MDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,3
FRU_019,Avocado,PM007,BOPP,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,4
FRU_019,Avocado,PM013,PA6 / Nylon-6,Multilayer laminate/structure,Multilayer,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,5
FRU_019,Avocado,PM014,BOPA / Oriented Nylon,Multilayer laminate/structure,Multilayer,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,6
FRU_019,Avocado,PM018,PVC plasticized,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,7
